;Muster;Summiertes Fondsvolumen (in Mio. Euro);Anteil am untersuchten Fondsvolumen
1;0;605738;48,47%
2;1100;345856;27,68%
3;110011;72797;5,83%
4;110001;62250;4,98%
5;110000;53666;4,29%
6;111101;35753;2,86%
7;100;28288;2,26%
8;1;19706;1,58%
9;10;9038;0,72%
10;10000;5027;0,40%
11;1000;4026;0,32%
12;100000;2437;0,20%
13;10001;2017;0,16%
14;100001;984;0,08%
15;11;931;0,07%
16;110100;430;0,03%
17;101101;386;0,03%
18;111100;128;0,01%
19;101001;73;0,01%
20;110;54;0,00%
21;1110;23;0,00%
;;;
;Summe;1249608;
