;Muster;Summiertes Fondsvolumen (in Mio. Euro);Anteil am untersuchten Fondsvolumen
1;0;396990;31,77%
2;1,0101E+16;318337;25,47%
3;1,01011E+13;112255;8,98%
4;1E+15;86807;6,95%
5;1,01E+16;38853;3,11%
6;1,00001E+12;28411;2,27%
7;1,01111E+16;25701;2,06%
8;10001;19325;1,55%
9;1,01011E+13;18412;1,47%
10;1000;16110;1,29%
11;1,0001E+16;16065;1,29%
12;1,0101E+15;14632;1,17%
13;1100100000;14553;1,16%
14;10;13895;1,11%
15;1,01E+16;11689;0,94%
16;1000000010;10892;0,87%
17;1,01011E+13;10551;0,84%
18;1E+16;9734;0,78%
19;1,1111E+16;9365;0,75%
20;1E+15;8586;0,69%
21;1E+13;8573;0,69%
22;1E+16;7841;0,63%
23;1,011E+11;4651;0,37%
24;1E+14;4624;0,37%
25;1,01E+14;3944;0,32%
26;1100000010;3782;0,30%
27;1E+13;3602;0,29%
28;1,01011E+13;3509;0,28%
29;1,0101E+16;2927;0,23%
30;1,011E+11;2017;0,16%
31;1,00001E+13;1786;0,14%
32;1E+13;1526;0,12%
33;1E+12;1422;0,11%
34;1,0001E+13;1335;0,11%
35;1,01E+16;1239;0,10%
36;1,001E+11;1230;0,10%
37;1,01E+16;1097;0,09%
38;1E+16;1025;0,08%
39;1;929;0,07%
40;1000000;909;0,07%
41;1E+13;822;0,07%
42;100000;780;0,06%
43;1000100000;768;0,06%
44;1,01001E+13;694;0,06%
45;1,01111E+16;687;0,05%
46;1E+11;660;0,05%
47;1,0101E+16;657;0,05%
48;101;592;0,05%
49;1,011E+11;576;0,05%
50;1000000000;566;0,05%
51;1E+12;561;0,04%
52;1000001;427;0,03%
53;100;389;0,03%
54;1,0101E+16;381;0,03%
55;1000100100;229;0,02%
56;100100000;207;0,02%
57;1,00101E+14;195;0,02%
58;1,01111E+16;194;0,02%
59;1000100101;174;0,01%
60;1,01111E+16;128;0,01%
61;1,11001E+13;113;0,01%
62;1,11001E+13;111;0,01%
63;1,01011E+13;102;0,01%
64;1E+15;99;0,01%
65;1,01001E+13;91;0,01%
66;10000;90;0,01%
67;1,0111E+16;73;0,01%
68;1,00011E+13;67;0,01%
69;100010;30;0,00%
70;1,0101E+16;9;0,00%
71;1E+16;5;0,00%
;;;
;Summe;1249608;
