"";"Muster";"Summiertes Fondsvolumen (in Mio. Euro)";"Anzahl Fonds"
"1";"00000000000000000000";456333;260
"2";"01100000000000000000";26183;12
"3";"10000000000000000000";21666;11
"4";"00010010111001100000";213338;10
"5";"11111011111111111110";26875;10
"6";"00000000000001000000";22585;9
"7";"01101001000110001010";17838;9
"8";"00000000000010000000";1293;6
"9";"00001000000110001000";11195;4
"10";"11101001000110011110";19541;4
"11";"00000000000000000010";1450;3
"12";"00000100000000000001";1506;3
"13";"00010010111000000000";1693;3
"14";"00010010111001100001";3548;3
"15";"00010110111001100001";46998;3
"16";"00000000000000000001";367;2
"17";"00000000000000010100";2959;2
"18";"00000000000011000000";2446;2
"19";"00000000010000000000";2757;2
"20";"00000000010001100000";27083;2
"21";"00000000101000000000";762;2
"22";"00000001000000000000";43;2
"23";"00010010001000000000";2400;2
"24";"00010010100000000000";3944;2
"25";"00010010101000100000";19557;2
"26";"00100000000000000000";1547;2
"27";"00100000000100000010";768;2
"28";"01000000000000000000";300;2
"29";"01101000000100001000";859;2
"30";"11101001000110001010";110855;2
"31";"11111011111110011110";9795;2
"32";"00000000000000100000";634;1
"33";"00000000000001000001";9628;1
"34";"00000000000001100000";65;1
"35";"00000000000010001000";3602;1
"36";"00000000000010010100";174;1
"37";"00000000000011100000";592;1
"38";"00000000000100000000";740;1
"39";"00000000010000000100";3918;1
"40";"00000000010000100000";1422;1
"41";"00000000010001000000";32539;1
"42";"00000000010001000001";40284;1
"43";"00000000010010100000";2248;1
"44";"00000001000000010100";67;1
"45";"00000001000100000000";1313;1
"46";"00000010000000000000";9;1
"47";"00000010001000010000";351;1
"48";"00000010101000000000";458;1
"49";"00000100000000100001";10193;1
"50";"00000100000001000001";32;1
"51";"00000100000001100001";17802;1
"52";"00000100110001100001";194;1
"53";"00010000000000000000";5;1
"54";"00010000010000000000";729;1
"55";"00010000111001100000";7841;1
"56";"00010010101000000000";4624;1
"57";"00010010111000100000";9;1
"58";"00010010111001110100";1948;1
"59";"00010110111000100001";35272;1
"60";"00100000000000000010";480;1
"61";"01000000000010000000";621;1
"62";"01000000000010001000";859;1
"63";"01100001000000000010";1522;1
"64";"01101001000100001010";355;1
"65";"01101010100100001000";1734;1
"66";"01101010101000001010";1786;1
"67";"10100000000000010010";1239;1
"68";"10111010000000011100";5;1
"69";"11011010100010111110";195;1
"70";"11101000000110001010";984;1
"71";"11101001000100001010";4651;1
