;Muster;Summiertes Fondsvolumen (in Mio. Euro);Anteil am untersuchten Fondsvolumen
1;0;456333;36,52%
2;1,00101E+16;213338;17,07%
3;1,1101E+19;110855;8,87%
4;1,01101E+16;46998;3,76%
5;10001000001;40284;3,22%
6;1,01101E+16;35272;2,82%
7;10001000000;32539;2,60%
8;10001100000;27083;2,17%
9;1,1111E+19;26875;2,15%
10;1,1E+18;26183;2,10%
11;1000000;22585;1,81%
12;1E+19;21666;1,73%
13;1,00101E+16;19557;1,57%
14;1,1101E+19;19541;1,56%
15;1,101E+18;17838;1,43%
16;1E+14;17802;1,42%
17;1E+15;11195;0,90%
18;1E+14;10193;0,82%
19;1,1111E+19;9795;0,78%
20;1000001;9628;0,77%
21;1,00001E+16;7841;0,63%
22;1,1101E+19;4651;0,37%
23;1,00101E+16;4624;0,37%
24;1,00101E+16;3944;0,32%
25;10000000100;3918;0,31%
26;10001000;3602;0,29%
27;1,00101E+16;3548;0,28%
28;10100;2959;0,24%
29;10000000000;2757;0,22%
30;11000000;2446;0,20%
31;1,001E+16;2400;0,19%
32;10010100000;2248;0,18%
33;1,00101E+16;1948;0,16%
34;1,10101E+18;1786;0,14%
35;1,10101E+18;1734;0,14%
36;1,00101E+16;1693;0,14%
37;1E+17;1547;0,12%
38;1,1E+18;1522;0,12%
39;1E+14;1506;0,12%
40;10;1450;0,12%
41;10000100000;1422;0,11%
42;1,0001E+12;1313;0,11%
43;10000000;1293;0,10%
44;1,01E+19;1239;0,10%
45;1,1101E+19;984;0,08%
46;1E+18;859;0,07%
47;1,101E+18;859;0,07%
48;1E+17;768;0,06%
49;1,01E+11;762;0,06%
50;100000000;740;0,06%
51;1E+16;729;0,06%
52;100000;634;0,05%
53;1E+18;621;0,05%
54;11100000;592;0,05%
55;1E+17;480;0,04%
56;1,0101E+13;458;0,04%
57;1;367;0,03%
58;1,101E+18;355;0,03%
59;1,0001E+13;351;0,03%
60;1E+18;300;0,02%
61;1,1011E+19;195;0,02%
62;1,0011E+14;194;0,02%
63;10010100;174;0,01%
64;1E+12;67;0,01%
65;1100000;65;0,01%
66;1E+12;43;0,00%
67;1E+14;32;0,00%
68;1E+13;9;0,00%
69;1,00101E+16;9;0,00%
70;1E+16;5;0,00%
71;1,0111E+19;5;0,00%
;;;
;Summe;1249608;
