"";"Muster";"Summiertes Fondsvolumen (in Mio. Euro)";"Anzahl Fonds"
"1";"00000000000000000000";456333;260
"2";"00010010111001100000";213338;10
"3";"11101001000110001010";110855;2
"4";"00010110111001100001";46998;3
"5";"00000000010001000001";40284;1
"6";"00010110111000100001";35272;1
"7";"00000000010001000000";32539;1
"8";"00000000010001100000";27083;2
"9";"11111011111111111110";26875;10
"10";"01100000000000000000";26183;12
"11";"00000000000001000000";22585;9
"12";"10000000000000000000";21666;11
"13";"00010010101000100000";19557;2
"14";"11101001000110011110";19541;4
"15";"01101001000110001010";17838;9
"16";"00000100000001100001";17802;1
"17";"00001000000110001000";11195;4
"18";"00000100000000100001";10193;1
"19";"11111011111110011110";9795;2
"20";"00000000000001000001";9628;1
"21";"00010000111001100000";7841;1
"22";"11101001000100001010";4651;1
"23";"00010010101000000000";4624;1
"24";"00010010100000000000";3944;2
"25";"00000000010000000100";3918;1
"26";"00000000000010001000";3602;1
"27";"00010010111001100001";3548;3
"28";"00000000000000010100";2959;2
"29";"00000000010000000000";2757;2
"30";"00000000000011000000";2446;2
"31";"00010010001000000000";2400;2
"32";"00000000010010100000";2248;1
"33";"00010010111001110100";1948;1
"34";"01101010101000001010";1786;1
"35";"01101010100100001000";1734;1
"36";"00010010111000000000";1693;3
"37";"00100000000000000000";1547;2
"38";"01100001000000000010";1522;1
"39";"00000100000000000001";1506;3
"40";"00000000000000000010";1450;3
"41";"00000000010000100000";1422;1
"42";"00000001000100000000";1313;1
"43";"00000000000010000000";1293;6
"44";"10100000000000010010";1239;1
"45";"11101000000110001010";984;1
"46";"01000000000010001000";859;1
"47";"01101000000100001000";859;2
"48";"00100000000100000010";768;2
"49";"00000000101000000000";762;2
"50";"00000000000100000000";740;1
"51";"00010000010000000000";729;1
"52";"00000000000000100000";634;1
"53";"01000000000010000000";621;1
"54";"00000000000011100000";592;1
"55";"00100000000000000010";480;1
"56";"00000010101000000000";458;1
"57";"00000000000000000001";367;2
"58";"01101001000100001010";355;1
"59";"00000010001000010000";351;1
"60";"01000000000000000000";300;2
"61";"11011010100010111110";195;1
"62";"00000100110001100001";194;1
"63";"00000000000010010100";174;1
"64";"00000001000000010100";67;1
"65";"00000000000001100000";65;1
"66";"00000001000000000000";43;2
"67";"00000100000001000001";32;1
"68";"00000010000000000000";9;1
"69";"00010010111000100000";9;1
"70";"00010000000000000000";5;1
"71";"10111010000000011100";5;1
