"";"Muster";"Summiertes Fondsvolumen (in Mio. Euro)";"Anzahl Fonds"
"1";"000000000000000000000000000";302075;209
"2";"000000000000010000110100010";235252;14
"3";"001000000000000010000000000";18516;13
"4";"000000000000000000100000000";32420;6
"5";"000000000000100000000000000";3121;6
"6";"000000000001010000110100010";83769;6
"7";"000000100000000000000000100";10290;6
"8";"000010000000000001000000000";10262;6
"9";"011001111110011110111100111";25207;6
"10";"100100000000100000000000000";86861;6
"11";"000000000100000000000000000";1226;5
"12";"000100000000000000000000000";4637;5
"13";"010000011100001100000000001";8205;5
"14";"100000000000000000000000000";13844;5
"15";"000000000000000000000000001";1650;4
"16";"000000000000000000000100010";68716;4
"17";"000000000000010000000100010";9338;4
"18";"000000000010000000000000000";11195;4
"19";"010000001000000000000000001";14553;4
"20";"010001011110001100001000001";7315;4
"21";"000000000000000000001000000";1433;3
"22";"000000000000000000010000000";8738;3
"23";"000000000000000000010100010";12474;3
"24";"000000000000000100000000000";561;3
"25";"000000000000010000000000010";18461;3
"26";"000000000100000100000000000";296;3
"27";"000000001000000000000000000";1235;3
"28";"000000000000000000000000010";762;2
"29";"000000000000000000000100000";11971;2
"30";"000000000000000000010100000";3758;2
"31";"000000000001010000010100010";639;2
"32";"000000100000000000000000000";1029;2
"33";"000001000000000000000000000";606;2
"34";"000001011110001100001000001";1542;2
"35";"000100100000000000000000100";5136;2
"36";"010000000010000000001000001";768;2
"37";"010001001010001000001000001";1514;2
"38";"011001111110001110001000101";52695;2
"39";"100000000000100000000000000";299;2
"40";"000000000000001000000000001";402;1
"41";"000000000000010000000000000";1239;1
"42";"000000000000010000000100000";1212;1
"43";"000000000000010000010000010";1408;1
"44";"000000000000010000010100000";458;1
"45";"000000000000010000010100010";32539;1
"46";"000000000000010100000100011";73;1
"47";"000000000001000000000000010";729;1
"48";"000000000010000000001100011";1786;1
"49";"000000000010000100000000001";105;1
"50";"000000000010000100000100001";1421;1
"51";"000000000010000100001000001";822;1
"52";"000000000010010000001100000";5;1
"53";"000000000100000100100000000";592;1
"54";"000000001000000000000000001";207;1
"55";"000000001000001000000000001";93;1
"56";"000000001000010000011000101";195;1
"57";"000000010000000000011000100";111;1
"58";"000000010000001000000000001";137;1
"59";"000000011000000100000000000";859;1
"60";"000000011000010100000100100";621;1
"61";"000000100000000000001000100";929;1
"62";"000001010010010000011100011";3918;1
"63";"000001010110001000011100100";1025;1
"64";"000001011110001000001000001";22;1
"65";"000001011110001100001000101";174;1
"66";"000010000000000100000000000";437;1
"67";"001000100000000000100000100";1734;1
"68";"001000100000000010000000100";931;1
"69";"001001010010010010011100011";5082;1
"70";"001001011010001010001000001";10892;1
"71";"001001110000000000000000100";283;1
"72";"001010000010000000001000001";67;1
"73";"010000000000000000000000000";46;1
"74";"010000000000000000001100011";351;1
"75";"010000001100001100000000001";1518;1
"76";"010000011000001000000000001";102;1
"77";"010001011100001100001000001";1522;1
"78";"010001111010001010001000101";984;1
"79";"010001111110011100111100111";128;1
"80";"010011001110001000001000000";283;1
"81";"010011001110001100001000001";5631;1
"82";"010011011110001101001000001";2847;1
"83";"011001001010111010111100011";769;1
"84";"011001011110001110001000101";3602;1
"85";"011001111010011010111100011";607;1
"86";"011001111010111010111100111";687;1
"87";"011011111110001110001000101";1395;1
"88";"011011111110001111001000101";58165;1
"89";"100100000000000000000000000";147;1
"90";"110000000000100100000000001";11;1
"91";"110001111110111010111100011";430;1
"92";"111001101110111110111100111";9365;1
"93";"111001111110101110001000101";3509;1
"94";"111111111110101111001000101";14632;1
