;Muster;Summiertes Fondsvolumen (in Mio. Euro);
1;0;302075;24,17%
2;1,00001E+13;235252;18,83%
3;1,001E+26;86861;6,95%
4;1,01E+15;83769;6,70%
5;100010;68716;5,50%
6;1,10111E+25;58165;4,65%
7;1,10011E+25;52695;4,22%
8;1E+13;32539;2,60%
9;100000000;32420;2,59%
10;1,10011E+25;25207;2,02%
11;1E+24;18516;1,48%
12;1E+13;18461;1,48%
13;1,11111E+26;14632;1,17%
14;1E+25;14553;1,16%
15;1E+26;13844;1,11%
16;10100010;12474;1,00%
17;100000;11971;0,96%
18;1E+16;11195;0,90%
19;1,00101E+24;10892;0,87%
20;1E+20;10290;0,82%
21;1E+22;10262;0,82%
22;1,11001E+26;9365;0,75%
23;1E+13;9338;0,75%
24;10000000;8738;0,70%
25;1E+25;8205;0,66%
26;1,0001E+25;7315;0,59%
27;1,0011E+25;5631;0,45%
28;1,001E+23;5136;0,41%
29;1,00101E+24;5082;0,41%
30;1E+23;4637;0,37%
31;1,01001E+21;3918;0,31%
32;10100000;3758;0,30%
33;1,1001E+25;3602;0,29%
34;1,11001E+26;3509;0,28%
35;1E+14;3121;0,25%
36;1,0011E+25;2847;0,23%
37;1E+16;1786;0,14%
38;1,0001E+24;1734;0,14%
39;1;1650;0,13%
40;1,01111E+21;1542;0,12%
41;1,0001E+25;1522;0,12%
42;1E+25;1518;0,12%
43;1,0001E+25;1514;0,12%
44;1000000;1433;0,11%
45;1,00001E+16;1421;0,11%
46;1E+13;1408;0,11%
47;1,10111E+25;1395;0,11%
48;1E+13;1239;0,10%
49;1E+18;1235;0,10%
50;1E+17;1226;0,10%
51;1E+13;1212;0,10%
52;1E+20;1029;0,08%
53;1,01011E+21;1025;0,08%
54;1,00011E+25;984;0,08%
55;1,0001E+24;931;0,07%
56;1E+20;929;0,07%
57;1,1E+19;859;0,07%
58;1,00001E+16;822;0,07%
59;1,1001E+25;769;0,06%
60;1E+25;768;0,06%
61;10;762;0,06%
62;1E+15;729;0,06%
63;1,10011E+25;687;0,05%
64;1,01E+15;639;0,05%
65;1,1E+19;621;0,05%
66;1,10011E+25;607;0,05%
67;1E+21;606;0,05%
68;1E+17;592;0,05%
69;1E+11;561;0,04%
70;1E+13;458;0,04%
71;1E+22;437;0,03%
72;1,10001E+26;430;0,03%
73;1E+12;402;0,03%
74;1E+25;351;0,03%
75;1E+26;299;0,02%
76;1E+17;296;0,02%
77;1,00111E+24;283;0,02%
78;1,0011E+25;283;0,02%
79;1E+18;207;0,02%
80;1,00001E+18;195;0,02%
81;1,01111E+21;174;0,01%
82;1,001E+26;147;0,01%
83;1E+19;137;0,01%
84;1,00011E+25;128;0,01%
85;1E+19;111;0,01%
86;1,00001E+16;105;0,01%
87;1E+25;102;0,01%
88;1E+18;93;0,01%
89;1,01E+13;73;0,01%
90;1,01E+24;67;0,01%
91;1E+25;46;0,00%
92;1,01111E+21;22;0,00%
93;1,1E+26;11;0,00%
94;1,001E+16;5;0,00%
;;;
;Summe;1249608;
