"";"Muster";"Summiertes Fondsvolumen (in Mio. Euro)";"Anzahl Fonds"
"1";"000000000000000000000000000";302075;209
"2";"000000000000010000110100010";235252;14
"3";"100100000000100000000000000";86861;6
"4";"000000000001010000110100010";83769;6
"5";"000000000000000000000100010";68716;4
"6";"011011111110001111001000101";58165;1
"7";"011001111110001110001000101";52695;2
"8";"000000000000010000010100010";32539;1
"9";"000000000000000000100000000";32420;6
"10";"011001111110011110111100111";25207;6
"11";"001000000000000010000000000";18516;13
"12";"000000000000010000000000010";18461;3
"13";"111111111110101111001000101";14632;1
"14";"010000001000000000000000001";14553;4
"15";"100000000000000000000000000";13844;5
"16";"000000000000000000010100010";12474;3
"17";"000000000000000000000100000";11971;2
"18";"000000000010000000000000000";11195;4
"19";"001001011010001010001000001";10892;1
"20";"000000100000000000000000100";10290;6
"21";"000010000000000001000000000";10262;6
"22";"111001101110111110111100111";9365;1
"23";"000000000000010000000100010";9338;4
"24";"000000000000000000010000000";8738;3
"25";"010000011100001100000000001";8205;5
"26";"010001011110001100001000001";7315;4
"27";"010011001110001100001000001";5631;1
"28";"000100100000000000000000100";5136;2
"29";"001001010010010010011100011";5082;1
"30";"000100000000000000000000000";4637;5
"31";"000001010010010000011100011";3918;1
"32";"000000000000000000010100000";3758;2
"33";"011001011110001110001000101";3602;1
"34";"111001111110101110001000101";3509;1
"35";"000000000000100000000000000";3121;6
"36";"010011011110001101001000001";2847;1
"37";"000000000010000000001100011";1786;1
"38";"001000100000000000100000100";1734;1
"39";"000000000000000000000000001";1650;4
"40";"000001011110001100001000001";1542;2
"41";"010001011100001100001000001";1522;1
"42";"010000001100001100000000001";1518;1
"43";"010001001010001000001000001";1514;2
"44";"000000000000000000001000000";1433;3
"45";"000000000010000100000100001";1421;1
"46";"000000000000010000010000010";1408;1
"47";"011011111110001110001000101";1395;1
"48";"000000000000010000000000000";1239;1
"49";"000000001000000000000000000";1235;3
"50";"000000000100000000000000000";1226;5
"51";"000000000000010000000100000";1212;1
"52";"000000100000000000000000000";1029;2
"53";"000001010110001000011100100";1025;1
"54";"010001111010001010001000101";984;1
"55";"001000100000000010000000100";931;1
"56";"000000100000000000001000100";929;1
"57";"000000011000000100000000000";859;1
"58";"000000000010000100001000001";822;1
"59";"011001001010111010111100011";769;1
"60";"010000000010000000001000001";768;2
"61";"000000000000000000000000010";762;2
"62";"000000000001000000000000010";729;1
"63";"011001111010111010111100111";687;1
"64";"000000000001010000010100010";639;2
"65";"000000011000010100000100100";621;1
"66";"011001111010011010111100011";607;1
"67";"000001000000000000000000000";606;2
"68";"000000000100000100100000000";592;1
"69";"000000000000000100000000000";561;3
"70";"000000000000010000010100000";458;1
"71";"000010000000000100000000000";437;1
"72";"110001111110111010111100011";430;1
"73";"000000000000001000000000001";402;1
"74";"010000000000000000001100011";351;1
"75";"100000000000100000000000000";299;2
"76";"000000000100000100000000000";296;3
"77";"001001110000000000000000100";283;1
"78";"010011001110001000001000000";283;1
"79";"000000001000000000000000001";207;1
"80";"000000001000010000011000101";195;1
"81";"000001011110001100001000101";174;1
"82";"100100000000000000000000000";147;1
"83";"000000010000001000000000001";137;1
"84";"010001111110011100111100111";128;1
"85";"000000010000000000011000100";111;1
"86";"000000000010000100000000001";105;1
"87";"010000011000001000000000001";102;1
"88";"000000001000001000000000001";93;1
"89";"000000000000010100000100011";73;1
"90";"001010000010000000001000001";67;1
"91";"010000000000000000000000000";46;1
"92";"000001011110001000001000001";22;1
"93";"110000000000100100000000001";11;1
"94";"000000000010010000001100000";5;1
