"";"MXP001691213";"FR0000120503";"GB0030913577";"KYG217651051";"DE0005557508";"NL0000009082";"GB00B8W67662";"ZAE000042164";"FR0000133308";"BE0003810273";"IT0003497168";"ES0178430E18";"GB00B0SWJX34";"NO0010063308";"SE0000667925";"FR0000127771";"GB00BH4HKS39"
"DE_2B76.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_2B7A.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_2B7B.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_2B7C.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_2B7D.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_2B7K.csv";0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0
"DE_36BZ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_4BRZ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_5MVL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_AGED.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_AYEM.csv";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"DE_BTEC.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_CEBB.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_CEBG.csv";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_CEBL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_CEBP.csv";0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0
"DE_CEM2.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_CEMG.csv";1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"DE_CEMQ.csv";0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"DE_CEMR.csv";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"DE_CEMS.csv";0;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1
"DE_CEMT.csv";0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0
"DE_CSKR.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_DAXEX.csv";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"DE_DGTL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EDMF.csv";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"DE_EEDS.csv";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"DE_EEJD.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EEUD.csv";0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1
"DE_EEWD.csv";0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"DE_EMUD.csv";0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0
"DE_EUMD.csv";0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0
"DE_EUN0.csv";0;0;1;0;1;1;0;0;1;1;0;1;0;1;1;0;1
"DE_EUN1.csv";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"DE_EUN2.csv";0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0
"DE_EUNI.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EUNJ.csv";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EUNK.csv";0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1
"DE_EUNL.csv";0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"DE_EUNM.csv";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"DE_EUNN.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EUNY.csv";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"DE_EUNZ.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXH1.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXH2.csv";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"DE_EXH3.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXH4.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXH5.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXH6.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"DE_EXH7.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXH8.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXH9.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXI1.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXI2.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXI3.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXS2.csv";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXS3.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXSA.csv";0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1
"DE_EXSB.csv";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXSC.csv";0;1;1;0;1;0;0;0;1;0;0;1;1;1;1;1;1
"DE_EXSD.csv";0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
"DE_EXSE.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXSG.csv";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"DE_EXSH.csv";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"DE_EXSI.csv";0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0
"DE_EXV1.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXV2.csv";0;0;1;0;1;1;0;0;1;1;1;1;0;1;1;0;1
"DE_EXV3.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXV4.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXV5.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXV6.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXV7.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXV8.csv";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXV9.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXW1.csv";0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0
"DE_EXW3.csv";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"DE_EXX1.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXX2.csv";0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0
"DE_EXX5.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXX7.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXXT.csv";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"DE_EXXU.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXXV.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXXW.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_EXXX.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_HEAL.csv";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DE_IAEX.csv";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"DE_IBC0.csv";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
