"";"Muster";"Summiertes Fondsvolumen (in Mio. Euro)";"Anzahl Fonds"
"1";"00000000000000000";820565;267
"2";"00000010000000000";34282;15
"3";"00010000000000000";12209;8
"4";"01101100111111111";17245;8
"5";"00000000010000000";3428;7
"6";"01111110111111111";25335;7
"7";"10000001000000000";86887;7
"8";"00000001000000000";2426;6
"9";"01001100111100010";9723;6
"10";"10000000000000000";2393;5
"11";"00000000000010000";1028;4
"12";"00001000000000000";9357;4
"13";"00001000100100010";14553;4
"14";"00100000000010001";11195;4
"15";"01111100111111111";112857;4
"16";"00000000000010010";1428;3
"17";"00000000001000000";566;3
"18";"00000100011000000";875;3
"19";"00000100011010000";673;3
"20";"00100000010010000";2348;3
"21";"00000000000000010";61;2
"22";"00000000000000100";490;2
"23";"00000000110000000";1547;2
"24";"00000100000000000";539;2
"25";"00001000000000001";768;2
"26";"01000000100000010";1180;2
"27";"11111101111111111";15319;2
"28";"00000000000001000";21;1
"29";"00000000000100000";774;1
"30";"00000000100011100";859;1
"31";"00000010100011100";621;1
"32";"00000100000010010";3602;1
"33";"00000100001000010";93;1
"34";"00001000001000001";5;1
"35";"00001000100100011";1786;1
"36";"00001000110001100";5082;1
"37";"00001100111100000";12;1
"38";"00100000000000001";740;1
"39";"00101000110001101";10892;1
"40";"00101100110001101";22;1
"41";"00101100110101101";1313;1
"42";"00101100111101101";717;1
"43";"00111000110001101";3918;1
"44";"01000000000000000";62;1
"45";"01000000000100000";50;1
"46";"01000000010000000";6;1
"47";"01001000100100010";102;1
"48";"01001100111101110";1522;1
"49";"01010000000000000";158;1
"50";"01100000010001000";30;1
"51";"01100000101100101";576;1
"52";"01100000110100101";3782;1
"53";"01101000100111111";67;1
"54";"01101100100111111";984;1
"55";"01101100111111101";2248;1
"56";"01110000010001001";73;1
"57";"01110000101100001";1734;1
"58";"01110000101100101";283;1
"59";"01111000111101101";4651;1
"60";"10010001000001000";11;1
"61";"10101100111101111";231;1
"62";"10101111100111111";430;1
"63";"11111101101111111";3509;1
"64";"11111111101111111";9365;1
