;Muster;Summiertes Fondsvolumen (in Mio. Euro);Anteil am untersuchten Fondsvolumen
1;0;820565;65,67%
2;1,1111E+15;112857;9,03%
3;1E+16;86887;6,95%
4;10000000000;34282;2,74%
5;1,11111E+15;25335;2,03%
6;1,1011E+15;17245;1,38%
7;1,11111E+16;15319;1,23%
8;1,0001E+12;14553;1,16%
9;1E+13;12209;0,98%
10;1E+14;11195;0,90%
11;1,01E+14;10892;0,87%
12;1,0011E+15;9723;0,78%
13;1,11111E+16;9365;0,75%
14;1E+12;9357;0,75%
15;1,00011E+12;5082;0,41%
16;1,111E+15;4651;0,37%
17;1,11E+14;3918;0,31%
18;1,1E+15;3782;0,30%
19;1E+11;3602;0,29%
20;1,11111E+16;3509;0,28%
21;10000000;3428;0,27%
22;1000000000;2426;0,19%
23;1E+16;2393;0,19%
24;1E+14;2348;0,19%
25;1,1011E+15;2248;0,18%
26;1,0001E+12;1786;0,14%
27;1,11E+15;1734;0,14%
28;110000000;1547;0,12%
29;1,0011E+15;1522;0,12%
30;10010;1428;0,11%
31;1,011E+14;1313;0,11%
32;1E+15;1180;0,09%
33;10000;1028;0,08%
34;1,1011E+15;984;0,08%
35;1,00011E+11;875;0,07%
36;100011100;859;0,07%
37;100000;774;0,06%
38;1E+12;768;0,06%
39;1E+14;740;0,06%
40;1,011E+14;717;0,06%
41;1,00011E+11;673;0,05%
42;10100011100;621;0,05%
43;1,1E+15;576;0,05%
44;1000000;566;0,05%
45;1E+11;539;0,04%
46;100;490;0,04%
47;1,01011E+16;430;0,03%
48;1,11E+15;283;0,02%
49;1,01011E+16;231;0,02%
50;1,01E+15;158;0,01%
51;1,001E+15;102;0,01%
52;1,00001E+11;93;0,01%
53;1,11E+15;73;0,01%
54;1,101E+15;67;0,01%
55;1E+15;62;0,00%
56;10;61;0,00%
57;1E+15;50;0,00%
58;1,1E+15;30;0,00%
59;1,011E+14;22;0,00%
60;1000;21;0,00%
61;1,10011E+12;12;0,00%
62;1,001E+16;11;0,00%
63;1E+15;6;0,00%
64;1E+12;5;0,00%
;;;
;Summe;1249608;
