"";"Muster";"Summiertes Fondsvolumen (in Mio. Euro)";"Anzahl Fonds"
"1";"00000000000000000";820565;267
"2";"01111100111111111";112857;4
"3";"10000001000000000";86887;7
"4";"00000010000000000";34282;15
"5";"01111110111111111";25335;7
"6";"01101100111111111";17245;8
"7";"11111101111111111";15319;2
"8";"00001000100100010";14553;4
"9";"00010000000000000";12209;8
"10";"00100000000010001";11195;4
"11";"00101000110001101";10892;1
"12";"01001100111100010";9723;6
"13";"11111111101111111";9365;1
"14";"00001000000000000";9357;4
"15";"00001000110001100";5082;1
"16";"01111000111101101";4651;1
"17";"00111000110001101";3918;1
"18";"01100000110100101";3782;1
"19";"00000100000010010";3602;1
"20";"11111101101111111";3509;1
"21";"00000000010000000";3428;7
"22";"00000001000000000";2426;6
"23";"10000000000000000";2393;5
"24";"00100000010010000";2348;3
"25";"01101100111111101";2248;1
"26";"00001000100100011";1786;1
"27";"01110000101100001";1734;1
"28";"00000000110000000";1547;2
"29";"01001100111101110";1522;1
"30";"00000000000010010";1428;3
"31";"00101100110101101";1313;1
"32";"01000000100000010";1180;2
"33";"00000000000010000";1028;4
"34";"01101100100111111";984;1
"35";"00000100011000000";875;3
"36";"00000000100011100";859;1
"37";"00000000000100000";774;1
"38";"00001000000000001";768;2
"39";"00100000000000001";740;1
"40";"00101100111101101";717;1
"41";"00000100011010000";673;3
"42";"00000010100011100";621;1
"43";"01100000101100101";576;1
"44";"00000000001000000";566;3
"45";"00000100000000000";539;2
"46";"00000000000000100";490;2
"47";"10101111100111111";430;1
"48";"01110000101100101";283;1
"49";"10101100111101111";231;1
"50";"01010000000000000";158;1
"51";"01001000100100010";102;1
"52";"00000100001000010";93;1
"53";"01110000010001001";73;1
"54";"01101000100111111";67;1
"55";"01000000000000000";62;1
"56";"00000000000000010";61;2
"57";"01000000000100000";50;1
"58";"01100000010001000";30;1
"59";"00101100110001101";22;1
"60";"00000000000001000";21;1
"61";"00001100111100000";12;1
"62";"10010001000001000";11;1
"63";"01000000010000000";6;1
"64";"00001000001000001";5;1
