"";"Muster";"Summiertes Fondsvolumen (in Mio. Euro)";"Anzahl Fonds"
"1";"0000000000000000000";416278;239
"2";"0011000010010000000";302953;21
"3";"0000000001000001000";88439;10
"4";"0010000010000000000";63451;8
"5";"0000000000100000000";11569;7
"6";"0000000000000000001";3296;5
"7";"0000011000001110001";8205;5
"8";"0001000000000000000";3798;5
"9";"0010000000000000000";12669;5
"10";"1100011100001110101";66012;5
"11";"1111011110011110111";25222;5
"12";"0000000001000000000";220;4
"13";"0000011000000000001";14553;4
"14";"1100000000000000100";11195;4
"15";"0000000000000000010";3026;3
"16";"0000000000000010000";1564;3
"17";"0000000000000100000";358;3
"18";"0001000010000000000";27541;3
"19";"0100000000000100000";673;3
"20";"1100011100101110101";66643;3
"21";"0000000000000001000";5800;2
"22";"0000000000001000010";1199;2
"23";"0000000000010000000";11;2
"24";"0000000010010000000";11971;2
"25";"0000000100000000000";3623;2
"26";"0000001000100000000";354;2
"27";"0000010000000000001";1180;2
"28";"0010000000010000000";1159;2
"29";"0010000010010000000";19557;2
"30";"0011000010010000010";2433;2
"31";"1000001000000000101";768;2
"32";"1000011100000110101";2017;2
"33";"1100011100001110001";91;2
"34";"1100011100001110111";3514;2
"35";"1111011110011110011";113;2
"36";"0000000000000000100";402;1
"37";"0000000000000010001";6;1
"38";"0000000000001000000";229;1
"39";"0000000000001010000";774;1
"40";"0000000000001100000";373;1
"41";"0000000010000000000";381;1
"42";"0000000010000000011";73;1
"43";"0000000100000110001";859;1
"44";"0000001000000000000";212;1
"45";"0000010000000100001";50;1
"46";"0000010000001000001";207;1
"47";"0000010000010000010";2927;1
"48";"0000011000001010001";102;1
"49";"0000011000101110001";1518;1
"50";"0000011100001110001";1522;1
"51";"0001000000010000000";1422;1
"52";"0001000100000110001";621;1
"53";"0001011000001110111";195;1
"54";"0010001010000000000";3918;1
"55";"0011000010000000000";58;1
"56";"0100000000000000001";105;1
"57";"0100000000001100000";287;1
"58";"0100000000011000010";657;1
"59";"0100000010000100001";1421;1
"60";"0100000100000100101";822;1
"61";"0100010000001000000";194;1
"62";"0100010000101000000";279;1
"63";"1000001100000110101";433;1
"64";"1000011100000010101";67;1
"65";"1000011100001000101";3782;1
"66";"1000011100001110001";984;1
"67";"1000011100101110111";1395;1
"68";"1001000000001010000";5;1
"69";"1010000010000000101";351;1
"70";"1010010010000010101";1786;1
"71";"1011001110000111101";43;1
"72";"1011001110010110111";748;1
"73";"1011011110011110111";607;1
"74";"1100000000000000000";740;1
"75";"1100000000000000101";10892;1
"76";"1100001100000000101";22;1
"77";"1100001100001100101";1313;1
"78";"1100011000000110101";576;1
"79";"1100011101101111111";14632;1
"80";"1111011110000110101";111;1
"81";"1111011111010110111";9365;1
"82";"1111011111011110111";687;1
