;Muster;Summiertes Fondsvolumen (in Mio. Euro);Anteil am untersuchten Fondsvolumen
1;0;416278;33,31%
2;1,1E+16;302953;24,24%
3;1000001000;88439;7,08%
4;1,10001E+18;66643;5,33%
5;1,10001E+18;66012;5,28%
6;1E+16;63451;5,08%
7;1,00001E+15;27541;2,20%
8;1,11101E+18;25222;2,02%
9;1E+16;19557;1,57%
10;1,10001E+18;14632;1,17%
11;1,1E+13;14553;1,16%
12;1E+16;12669;1,01%
13;10010000000;11971;0,96%
14;100000000;11569;0,93%
15;1,1E+18;11195;0,90%
16;1,1E+18;10892;0,87%
17;1,11101E+18;9365;0,75%
18;1,1E+13;8205;0,66%
19;1000;5800;0,46%
20;1,0001E+16;3918;0,31%
21;1E+15;3798;0,30%
22;1,00001E+18;3782;0,30%
23;1E+11;3623;0,29%
24;1,10001E+18;3514;0,28%
25;1;3296;0,26%
26;10;3026;0,24%
27;1E+13;2927;0,23%
28;1,1E+16;2433;0,19%
29;1,00001E+18;2017;0,16%
30;1,01001E+18;1786;0,14%
31;10000;1564;0,13%
32;1,11E+13;1522;0,12%
33;1,10001E+13;1518;0,12%
34;1E+15;1422;0,11%
35;1E+17;1421;0,11%
36;1,00001E+18;1395;0,11%
37;1,1E+18;1313;0,11%
38;1000010;1199;0,10%
39;1E+13;1180;0,09%
40;1E+16;1159;0,09%
41;1,00001E+18;984;0,08%
42;1E+11;859;0,07%
43;1E+17;822;0,07%
44;1010000;774;0,06%
45;1E+18;768;0,06%
46;1,011E+18;748;0,06%
47;1,1E+18;740;0,06%
48;1,11101E+18;687;0,05%
49;1E+17;673;0,05%
50;1E+17;657;0,05%
51;1,0001E+15;621;0,05%
52;1,01101E+18;607;0,05%
53;1,10001E+18;576;0,05%
54;1E+18;433;0,03%
55;100;402;0,03%
56;10000000000;381;0,03%
57;1100000;373;0,03%
58;100000;358;0,03%
59;1,0001E+12;354;0,03%
60;1,01E+18;351;0,03%
61;1E+17;287;0,02%
62;1,0001E+17;279;0,02%
63;1000000;229;0,02%
64;1000000000;220;0,02%
65;1E+12;212;0,02%
66;1E+13;207;0,02%
67;1,011E+15;195;0,02%
68;1,0001E+17;194;0,02%
69;1,11101E+18;113;0,01%
70;1,11101E+18;111;0,01%
71;1E+17;105;0,01%
72;1,1E+13;102;0,01%
73;1,10001E+18;91;0,01%
74;10000000011;73;0,01%
75;1,00001E+18;67;0,01%
76;1,1E+16;58;0,00%
77;1E+13;50;0,00%
78;1,011E+18;43;0,00%
79;1,1E+18;22;0,00%
80;10000000;11;0,00%
81;10001;6;0,00%
82;1,001E+18;5;0,00%
;;;
;Summe;1249608;
