"";"Muster";"Summiertes Fondsvolumen (in Mio. Euro)";"Anzahl Fonds"
"1";"0000000000000000000";416278;239
"2";"0011000010010000000";302953;21
"3";"0000000001000001000";88439;10
"4";"1100011100101110101";66643;3
"5";"1100011100001110101";66012;5
"6";"0010000010000000000";63451;8
"7";"0001000010000000000";27541;3
"8";"1111011110011110111";25222;5
"9";"0010000010010000000";19557;2
"10";"1100011101101111111";14632;1
"11";"0000011000000000001";14553;4
"12";"0010000000000000000";12669;5
"13";"0000000010010000000";11971;2
"14";"0000000000100000000";11569;7
"15";"1100000000000000100";11195;4
"16";"1100000000000000101";10892;1
"17";"1111011111010110111";9365;1
"18";"0000011000001110001";8205;5
"19";"0000000000000001000";5800;2
"20";"0010001010000000000";3918;1
"21";"0001000000000000000";3798;5
"22";"1000011100001000101";3782;1
"23";"0000000100000000000";3623;2
"24";"1100011100001110111";3514;2
"25";"0000000000000000001";3296;5
"26";"0000000000000000010";3026;3
"27";"0000010000010000010";2927;1
"28";"0011000010010000010";2433;2
"29";"1000011100000110101";2017;2
"30";"1010010010000010101";1786;1
"31";"0000000000000010000";1564;3
"32";"0000011100001110001";1522;1
"33";"0000011000101110001";1518;1
"34";"0001000000010000000";1422;1
"35";"0100000010000100001";1421;1
"36";"1000011100101110111";1395;1
"37";"1100001100001100101";1313;1
"38";"0000000000001000010";1199;2
"39";"0000010000000000001";1180;2
"40";"0010000000010000000";1159;2
"41";"1000011100001110001";984;1
"42";"0000000100000110001";859;1
"43";"0100000100000100101";822;1
"44";"0000000000001010000";774;1
"45";"1000001000000000101";768;2
"46";"1011001110010110111";748;1
"47";"1100000000000000000";740;1
"48";"1111011111011110111";687;1
"49";"0100000000000100000";673;3
"50";"0100000000011000010";657;1
"51";"0001000100000110001";621;1
"52";"1011011110011110111";607;1
"53";"1100011000000110101";576;1
"54";"1000001100000110101";433;1
"55";"0000000000000000100";402;1
"56";"0000000010000000000";381;1
"57";"0000000000001100000";373;1
"58";"0000000000000100000";358;3
"59";"0000001000100000000";354;2
"60";"1010000010000000101";351;1
"61";"0100000000001100000";287;1
"62";"0100010000101000000";279;1
"63";"0000000000001000000";229;1
"64";"0000000001000000000";220;4
"65";"0000001000000000000";212;1
"66";"0000010000001000001";207;1
"67";"0001011000001110111";195;1
"68";"0100010000001000000";194;1
"69";"1111011110011110011";113;2
"70";"1111011110000110101";111;1
"71";"0100000000000000001";105;1
"72";"0000011000001010001";102;1
"73";"1100011100001110001";91;2
"74";"0000000010000000011";73;1
"75";"1000011100000010101";67;1
"76";"0011000010000000000";58;1
"77";"0000010000000100001";50;1
"78";"1011001110000111101";43;1
"79";"1100001100000000101";22;1
"80";"0000000000010000000";11;2
"81";"0000000000000010001";6;1
"82";"1001000000001010000";5;1
